feature,missing_fraction,unique_values,label_point_biserial_like_corr,abs_corr
sensors_involved,0.5333333333333333,4,0.9735635025081198,0.9735635025081198
max_sensor_overlap_fraction,0.5333333333333333,38,0.7231313948432457,0.7231313948432457
primary_spectral_centroid_hz,0.1393939393939394,142,-0.5508427610266403,0.5508427610266403
secondary_zero_crossing_rate,0.16969696969696968,115,-0.4846313302107111,0.4846313302107111
primary_spectral_entropy,0.1393939393939394,142,0.45879216320507954,0.45879216320507954
primary_directional_consistency,0.0,165,-0.3611610838550044,0.3611610838550044
primary_dominant_frequency_hz,0.1393939393939394,110,-0.3531784154661673,0.3531784154661673
duration_seconds,0.0,162,0.19087236364501384,0.19087236364501384
sample_count,0.0,112,0.16442140994185392,0.16442140994185392
primary_energy,0.0,165,0.16209932474439082,0.16209932474439082
secondary_energy,0.16969696969696968,137,0.15006627014658358,0.15006627014658358
primary_peak_to_peak,0.0,165,0.13390621367320982,0.13390621367320982
primary_mean_energy,0.0,165,0.1215002479189293,0.1215002479189293
primary_band_power,0.1393939393939394,142,0.11758120677410475,0.11758120677410475
peak_activity_score,0.0,165,0.11690551280888863,0.11690551280888863
primary_peak,0.0,165,0.11690551280888863,0.11690551280888863
secondary_peak_to_peak,0.16969696969696968,137,0.10972373384168065,0.10972373384168065
secondary_peak,0.16969696969696968,137,0.10444633752189277,0.10444633752189277
primary_variance,0.0,165,0.10030603411121214,0.10030603411121214
secondary_mean_energy,0.16969696969696968,137,0.07012166668803076,0.07012166668803076
primary_rms,0.0,165,0.062382940317577365,0.062382940317577365
primary_std,0.0,165,0.06175060571005701,0.06175060571005701
secondary_rms,0.16969696969696968,137,0.06008344402421848,0.06008344402421848
secondary_variance,0.16969696969696968,137,0.05942525922381692,0.05942525922381692
secondary_std,0.16969696969696968,137,0.05770368339407693,0.05770368339407693
primary_zero_crossing_rate,0.0,131,-0.04339197435795778,0.04339197435795778
