subject_id,n_candidates,n_artifact,artifact_fraction,n_classes
10,3,3,1.0,1
11,7,7,1.0,1
12,3,3,1.0,1
13,3,3,1.0,1
14,8,8,1.0,1
15,2,2,1.0,1
154100,2,0,0.0,1
16,6,6,1.0,1
17,7,7,1.0,1
450569,1,0,0.0,1
450663,3,0,0.0,1
451043,1,0,0.0,1
451049,1,0,0.0,1
451280,7,0,0.0,1
451377,3,0,0.0,1
451421,2,0,0.0,1
451609,1,0,0.0,1
451625,1,0,0.0,1
451743,1,0,0.0,1
451875,2,0,0.0,1
451905,2,0,0.0,1
451993,1,0,0.0,1
5,6,6,1.0,1
6,2,2,1.0,1
7,3,3,1.0,1
9,10,10,1.0,1
record_1,3,0,0.0,1
record_11,1,1,1.0,1
record_12,4,2,0.5,2
record_13,2,2,1.0,1
record_14,5,4,0.8,2
record_15,1,1,1.0,1
record_16,3,2,0.6666666666666666,2
record_18,3,1,0.3333333333333333,2
record_2,2,2,1.0,1
record_21,1,1,1.0,1
record_22,4,3,0.75,2
record_23,6,3,0.5,2
record_25,4,1,0.25,2
record_26,4,3,0.75,2
record_27,2,1,0.5,2
record_3,2,2,1.0,1
record_32,1,1,1.0,1
record_33,1,1,1.0,1
record_34,1,1,1.0,1
record_35,2,2,1.0,1
record_36,2,2,1.0,1
record_38,1,0,0.0,1
record_4,2,1,0.5,2
record_40,2,2,1.0,1
record_41,3,0,0.0,1
record_43,5,3,0.6,2
record_5,3,1,0.3333333333333333,2
record_6,2,1,0.5,2
record_7,1,0,0.0,1
record_8,2,0,0.0,1
record_9,2,2,1.0,1
