dataset,segment_id,candidate_id,start_timestamp,end_timestamp,duration_seconds,sample_count,start_index,end_index,peak_activity_score,threshold_used,filtered,filter_skip_reason,subject_id,record_id,sensor_id
OXFORD,OXFORD_154100_BCG_3AXIS_seg0001,OXFORD_154100_BCG_3AXIS_seg0001_c0001,0.058,0.384,0.326,164,29,193,1.8868524454367772,0.0775368025621467,True,,154100,154100,BCG_3AXIS
OXFORD,OXFORD_154100_BCG_3AXIS_seg0001,OXFORD_154100_BCG_3AXIS_seg0001_c0002,32.134,32.966,0.8320000000000007,417,16067,16484,0.3009080088129343,0.0775368025621467,True,,154100,154100,BCG_3AXIS
OXFORD,OXFORD_154100_BCG_3AXIS_seg0001,OXFORD_154100_BCG_3AXIS_seg0001_c0003,39.61,42.622,3.0120000000000005,1507,19805,21312,0.21313235887626414,0.0775368025621467,True,,154100,154100,BCG_3AXIS
OXFORD,OXFORD_154100_BCG_3AXIS_seg0001,OXFORD_154100_BCG_3AXIS_seg0001_c0004,45.26,46.276,1.0160000000000053,509,22630,23139,0.18745253086336883,0.0775368025621467,True,,154100,154100,BCG_3AXIS
OXFORD,OXFORD_154100_BCG_3AXIS_seg0001,OXFORD_154100_BCG_3AXIS_seg0001_c0005,55.54,56.814,1.274000000000001,638,27770,28408,0.17372097499251374,0.0775368025621467,True,,154100,154100,BCG_3AXIS
OXFORD,OXFORD_154100_BCG_3AXIS_seg0001,OXFORD_154100_BCG_3AXIS_seg0001_c0006,57.62,58.404,0.784000000000006,393,28810,29203,0.15406509441791394,0.0775368025621467,True,,154100,154100,BCG_3AXIS
OXFORD,OXFORD_154100_BCG_3AXIS_seg0001,OXFORD_154100_BCG_3AXIS_seg0001_c0007,63.114,63.424,0.3100000000000023,156,31557,31713,0.0915385517225521,0.0775368025621467,True,,154100,154100,BCG_3AXIS
OXFORD,OXFORD_154100_BCG_3AXIS_seg0001,OXFORD_154100_BCG_3AXIS_seg0001_c0008,67.37,69.65,2.280000000000001,1141,33685,34826,0.3169068681947594,0.0775368025621467,True,,154100,154100,BCG_3AXIS
OXFORD,OXFORD_154100_BCG_3AXIS_seg0001,OXFORD_154100_BCG_3AXIS_seg0001_c0009,70.36,72.764,2.4039999999999964,1203,35180,36383,0.12458725820114579,0.0775368025621467,True,,154100,154100,BCG_3AXIS
OXFORD,OXFORD_154100_BCG_3AXIS_seg0001,OXFORD_154100_BCG_3AXIS_seg0001_c0010,76.402,77.356,0.9539999999999935,478,38201,38679,0.1644785150088429,0.0775368025621467,True,,154100,154100,BCG_3AXIS
OXFORD,OXFORD_154100_BCG_3AXIS_seg0001,OXFORD_154100_BCG_3AXIS_seg0001_c0011,97.78,98.246,0.465999999999994,234,48890,49124,0.11131102341063068,0.0775368025621467,True,,154100,154100,BCG_3AXIS
OXFORD,OXFORD_154100_BCG_3AXIS_seg0001,OXFORD_154100_BCG_3AXIS_seg0001_c0012,119.512,119.816,0.30400000000000205,153,59756,59909,0.09316388723819699,0.0775368025621467,True,,154100,154100,BCG_3AXIS
OXFORD,OXFORD_154100_BCG_3AXIS_seg0001,OXFORD_154100_BCG_3AXIS_seg0001_c0013,124.99,125.37,0.38000000000000966,191,62495,62686,0.13997309541519018,0.0775368025621467,True,,154100,154100,BCG_3AXIS
OXFORD,OXFORD_154100_BCG_3AXIS_seg0001,OXFORD_154100_BCG_3AXIS_seg0001_c0014,130.154,131.076,0.921999999999997,462,65077,65539,0.1108522776612412,0.0775368025621467,True,,154100,154100,BCG_3AXIS
OXFORD,OXFORD_154100_BCG_3AXIS_seg0001,OXFORD_154100_BCG_3AXIS_seg0001_c0015,133.036,133.568,0.5320000000000107,267,66518,66785,0.09198479601003268,0.0775368025621467,True,,154100,154100,BCG_3AXIS
OXFORD,OXFORD_154100_BCG_3AXIS_seg0001,OXFORD_154100_BCG_3AXIS_seg0001_c0016,134.668,135.576,0.907999999999987,455,67334,67789,0.3859184762957959,0.0775368025621467,True,,154100,154100,BCG_3AXIS
