dataset,record_identifier,segment_id,sample_count,duration_seconds,sampling_rate_hz,acc_mean,acc_std,acc_rms,acc_peak_to_peak,jerk_rms,jerk_peak_to_peak,acc_dominant_frequency_hz,acc_spectral_centroid_hz,acc_spectral_bandwidth_hz,acc_spectral_energy,gyro_mean,gyro_std,gyro_rms,gyro_peak_to_peak,gyro_dominant_frequency_hz,gyro_spectral_centroid_hz,gyro_spectral_bandwidth_hz,gyro_spectral_energy,subject_id,record_id,sub_dataset,sensor_id,candidate_artifact,candidate_reason,manual_label
FOUR-IMU,"('Sub-dataset One', 'record_10', 'IMU3')",30,880,30.194060802459717,30.0,17736.113931412037,121.84965836894729,17736.53248882861,2331.9685504184745,5023.010348224262,75966.72187487286,5.761363636363637,7.396386022893458,4.30190759315701,418710.13705951313,1027.5379223532948,74.30411978338327,1030.2209879879701,531.6046786496,0.47727272727272735,3.780699419473988,4.190620495486557,158370.79908528854,single_subject,record_10,Sub-dataset One,IMU3,True,unusually_large_acceleration_range,
FOUR-IMU,"('Sub-dataset One', 'record_10', 'IMU4')",40,144,4.9140970706944245,30.0,16684.297406828086,61.97971405274101,16684.412529197558,325.79247597952417,2589.5952050208734,14056.636783519374,14.375,7.91491621123804,4.704516131820543,16948.125041940504,530.9106769785608,73.99670798345359,536.0425913322767,490.6601006139891,0.4166666666666667,5.133103606623221,4.508912556549042,28238.391962265712,single_subject,record_10,Sub-dataset One,IMU4,True,unusually_high_jerk,
FOUR-IMU,"('Sub-dataset One', 'record_10', 'IMU4')",41,112,3.809745073318709,30.0,16673.97012323957,65.12658574886575,16674.09731118471,370.07271515869434,2614.1804156852772,16253.807556194446,9.642857142857142,8.331873790781783,3.904592550882366,15460.877005987575,527.3750252338615,80.32218988645242,533.4567193583481,502.8918883930911,0.5357142857142857,4.198616632126521,3.3634978949455197,25268.177281742097,single_subject,record_10,Sub-dataset One,IMU4,True,unusually_high_jerk,
FOUR-IMU,"('Sub-dataset One', 'record_10', 'IMU4')",42,31,1.0457119941706878,30.0,16669.35134689732,62.01765733598808,16669.466713609316,309.5476608505087,2440.344081647277,10249.328481270979,6.774193548387098,7.529499063669087,3.286350226658731,4902.470234408662,532.0303669517803,84.78632495407867,538.7439394165511,391.2551718918246,0.9677419354838711,6.852640774386838,5.655483901250017,9465.381091626383,single_subject,record_10,Sub-dataset One,IMU4,True,unusually_high_jerk,
FOUR-IMU,"('Sub-dataset One', 'record_11', 'IMU4')",1,89,3.036509037017822,30.0,16798.035455761656,145.81555228753507,16798.668320682882,886.9526665942212,5551.586613010212,28881.984139083215,5.730337078651686,7.930141532702446,4.094629395450862,40843.88847306172,570.8295584633294,119.79081727603933,583.2634265227857,587.9505353599922,0.6741573033707865,2.8871397257121956,3.6670226207172187,29529.78304874928,single_subject,record_11,Sub-dataset One,IMU4,True,unusually_high_jerk,
FOUR-IMU,"('Sub-dataset One', 'record_12', 'IMU1')",19,4025,138.71619582176208,30.0,16668.664365435423,145.5301626457497,16669.2996480289,6625.122614731201,5269.523883371942,185830.1514064478,9.90234375,7.580547891882456,4.249499518403245,735203.9276362825,207.9308265223384,167.40749243864312,266.94661852673306,5594.476056668344,0.439453125,2.956756527312228,3.877352309591854,284545.2704106561,single_subject,record_12,Sub-dataset One,IMU1,True,unusually_large_acceleration_range,
FOUR-IMU,"('Sub-dataset One', 'record_12', 'IMU2')",3,855,29.436665773391752,30.0,16717.44414973089,119.49473079141185,16717.871212868537,2177.421211632254,4536.64766443199,70547.46013237935,4.105263157894736,7.005842959170338,4.159911371958631,179248.20873763497,286.2316481320246,151.40941469765627,323.81069662916013,1664.4357884628475,0.03508771929824561,2.4387114795519236,3.516214637859423,182792.32525498694,single_subject,record_12,Sub-dataset One,IMU2,True,unusually_large_acceleration_range,
FOUR-IMU,"('Sub-dataset One', 'record_12', 'IMU2')",10,131,4.456986904144344,30.0,16642.936270298946,96.15666536728769,16643.21404661752,621.2126378929752,4168.279850139924,24166.67689123051,2.5190839694656493,7.190766016192118,4.349457271226978,30067.08364020359,321.80394120442054,290.117260693016,433.2733565853289,3163.793019131438,0.22900763358778628,4.295464771304429,4.269099835317611,113572.39861675362,single_subject,record_12,Sub-dataset One,IMU2,True,unusually_high_gyroscope_variability,
FOUR-IMU,"('Sub-dataset One', 'record_12', 'IMU2')",11,1571,54.07683897018427,30.0,16625.840020308173,108.01698959947113,16626.190906245574,1896.6811788528303,4474.228700924777,80754.34252346418,3.857415658816041,7.807541577986516,4.246530765368026,556020.2835415541,250.48231878954516,170.26314326570082,302.871144186606,5693.236718110555,0.24824952259707192,5.137593478259991,4.425199066548388,3104552.2079987023,single_subject,record_12,Sub-dataset One,IMU2,True,unusually_large_acceleration_range,
FOUR-IMU,"('Sub-dataset One', 'record_12', 'IMU2')",19,4025,138.71619582176208,30.0,16533.03090075391,142.8594598734126,16533.648102900916,6244.293369321669,4946.6809321106675,255090.00572447365,7.8076171875,7.298201005727614,4.354510503018964,483994.19669509865,251.78225340208664,119.21454839400296,278.57927359553986,4618.821624397354,0.0146484375,3.795921319022213,4.123727726129126,256911.46212016087,single_subject,record_12,Sub-dataset One,IMU2,True,unusually_large_acceleration_range,
