dataset,record_identifier,segment_id,sample_count,duration_seconds,sampling_rate_hz,acc_mean,acc_std,acc_rms,acc_peak_to_peak,jerk_rms,jerk_peak_to_peak,acc_dominant_frequency_hz,acc_spectral_centroid_hz,acc_spectral_bandwidth_hz,acc_spectral_energy,gyro_mean,gyro_std,gyro_rms,gyro_peak_to_peak,gyro_dominant_frequency_hz,gyro_spectral_centroid_hz,gyro_spectral_bandwidth_hz,gyro_spectral_energy,subject_id,record_id,sub_dataset,sensor_id
FOUR-IMU,"('Sub-dataset One', 'record_1', 'IMU1')",1,147,4.933180809020996,30.0,16650.45046216426,90.79021310855225,16650.697987044936,643.4512930850597,4090.4020691174187,29201.107077276207,6.122448979591836,8.449744737297042,3.8063678945570656,45703.561135994045,204.97257019850645,74.4822986565071,218.08568808369515,485.9007425185334,0.4081632653061224,3.3382575037618887,3.8205073974847523,17965.664956620756,single_subject,record_1,Sub-dataset One,IMU1
FOUR-IMU,"('Sub-dataset One', 'record_1', 'IMU1')",2,7123,239.69717717170712,30.0,16639.53221994405,99.17180617930312,16639.827749880616,761.6865468896176,4128.913138712968,36589.29596625828,0.0146484375,7.425532902257413,4.235603298822659,678980.287417176,208.09016087126008,56.649470183651935,215.6633430222099,528.9671768950093,0.4248046875,3.2538685242945395,4.180701910400918,237855.8334770299,single_subject,record_1,Sub-dataset One,IMU1
FOUR-IMU,"('Sub-dataset One', 'record_1', 'IMU1')",3,2642,88.89288616180414,30.0,16643.089437251765,107.12121932472158,16643.434170026056,762.5604722296302,4511.431343878928,33952.84013824183,4.1455078125,7.439319223882867,4.327759136147241,843995.3612169847,212.73414144255233,61.68393940378724,221.49655373316747,522.3326643786658,0.4248046875,2.6343487283074216,3.85422278123686,336760.076743872,single_subject,record_1,Sub-dataset One,IMU1
FOUR-IMU,"('Sub-dataset One', 'record_1', 'IMU1')",4,10756,362.01446199417114,30.0,16559.960607424,114.78564762881061,16560.358421976747,1204.025514074112,3826.7283114708216,37237.90283882934,0.0146484375,6.961088968785349,4.324700417845229,623043.8756587992,216.80295982084988,69.77287799946623,227.75376592146495,989.9804853219043,0.498046875,2.797028491443311,4.01863393317912,322723.89958308014,single_subject,record_1,Sub-dataset One,IMU1
FOUR-IMU,"('Sub-dataset One', 'record_1', 'IMU1')",5,1823,61.348774909973145,30.0,16490.532005470926,92.77798315516645,16490.792994201925,675.0174901120154,3862.28439972227,27390.98449965549,4.7394404827207905,7.770119954774399,4.309431042935493,521185.998934782,218.89872969741975,63.18012720518548,227.83411144253063,687.4711815718247,0.4772353263850796,3.279759274049258,4.2275452053500056,244797.2246678283,single_subject,record_1,Sub-dataset One,IMU1
FOUR-IMU,"('Sub-dataset One', 'record_1', 'IMU1')",6,4575,153.9431049823762,30.0,16499.31113204115,99.98153826462385,16499.614060331554,845.2862966786688,4116.341116090198,32316.467479365303,4.98046875,7.1581052915964145,4.210647491835316,643746.5803706474,218.97785420659375,58.56974284484976,226.67535245331828,512.8964157117671,0.4541015625,3.480321153034882,4.125489888464681,233973.21288221522,single_subject,record_1,Sub-dataset One,IMU1
FOUR-IMU,"('Sub-dataset One', 'record_1', 'IMU1')",7,8896,299.535057067871,30.0,16490.61039558116,89.94346065505201,16490.855679586915,783.2056542211922,3682.5401580842763,34013.67164648458,0.0146484375,7.275574071376568,4.234957917953003,536833.0232385183,216.47416143006532,58.66636995524408,224.2828694541238,688.342655593123,0.5126953125,3.6588168273870676,4.321862525586476,246347.53032808617,single_subject,record_1,Sub-dataset One,IMU1
FOUR-IMU,"('Sub-dataset One', 'record_1', 'IMU1')",8,851,28.579239845276334,30.0,16496.960491445614,85.9919425750534,16497.184610426873,691.6629220799696,3515.1192484748303,26641.15550101648,6.415981198589894,6.991479366763938,3.9157535036663287,207291.49210174847,220.11722016422598,55.33128927503488,226.96506820580106,379.80062923351454,0.4935370152761457,3.6248898514016474,4.579334302648675,88747.16402423376,single_subject,record_1,Sub-dataset One,IMU1
FOUR-IMU,"('Sub-dataset One', 'record_1', 'IMU1')",9,13477,453.701238155365,30.0,16507.73499019626,90.19076318954977,16507.98136903221,841.953476648081,3688.726312618417,35853.731386658255,4.6728515625,7.233018077754406,4.226273922663642,558468.2304252684,228.89553334796832,71.4887235055113,239.79950536875242,1135.854043502814,0.46875,3.5985921945025257,4.173119146168245,353712.4163507067,single_subject,record_1,Sub-dataset One,IMU1
FOUR-IMU,"('Sub-dataset One', 'record_1', 'IMU1')",10,1797,60.44593596458458,30.0,16495.852640205223,88.59517493428818,16496.0905499572,714.5098873367078,3701.5423010519853,29650.020840848243,1.1519198664440733,7.428408999727374,4.227892336037047,462182.2185264075,221.42134758603592,51.49740277544353,227.33102660972696,508.4434617798366,0.4507512520868113,4.70175575539952,4.578238711153741,149484.28763931073,single_subject,record_1,Sub-dataset One,IMU1
FOUR-IMU,"('Sub-dataset One', 'record_1', 'IMU1')",11,3595,120.94836902618385,30.0,16493.656340860773,97.1101606258751,16493.94221748438,1247.0841791022976,3879.2934486107933,34034.28347082301,0.0146484375,6.756085112047641,4.316267611067671,624244.3357306678,234.2996975255205,71.96521915937473,245.10271526282042,890.1643574831594,0.4833984375,3.050773611226806,3.942258553970038,406178.6860785211,single_subject,record_1,Sub-dataset One,IMU1
