movement_count,span_seconds,movements_per_minute,interval_cv,burst_count,mean_burst_size,max_burst_size,duration_std_seconds,peak_amplitude_std,dominant_frequency_std_hz,dominant_direction,direction_counts,movements_early_third,movements_mid_third,movements_late_third,artifact_filtered_fraction,dataset,subject_id,record_id
29,15377.214999999998,0.11315443010974355,5.154977778575083,7,4.142857142857143,14,26.796362737379123,0.8628856338257639,2.3889890089365378,ax,"{'ax': 14, 'ay': 9, 'az': 6}",22,0,7,0.0,COUGH,5,Trial_1_No_Talking
13,676.588,1.1528433847481776,,3,4.333333333333333,10,37.404286461478016,0.9837707512092041,3.073901067371014,ax,"{'ax': 8, 'az': 5}",3,2,8,0.0,COUGH,5,Trial_2_Talking
9,508.63599999999997,1.0616629573997909,4.973631993538746,2,4.5,8,45.92977362506809,1.0642460872136381,1.7489404032522655,ax,{'ax': 9},1,6,2,0.0,COUGH,5,Trial_3_Nonverbal
2,467.83700000000005,0.2564995928068964,,1,2.0,2,102.68533965712926,0.90856597723344,0.8158552710255738,ay,{'ay': 2},1,0,1,0.0,COUGH,6,Trial_1_No_Talking
2,471.97299999999996,0.2542518322022658,,1,2.0,2,107.02414686648987,0.8908229022367617,0.8687276387223236,ay,{'ay': 2},1,0,1,0.0,COUGH,6,Trial_2_Talking
4,452.587,0.5302847850247577,,1,4.0,4,67.58689401738081,1.3810268949389628,1.619454838047774,ay,{'ay': 4},2,1,1,0.0,COUGH,6,Trial_3_Nonverbal
11,609.365,1.0830946969386164,1.8688619795081678,3,3.6666666666666665,9,42.72563322430906,1.073777792580045,1.2471119233349264,ay,{'ay': 11},4,6,1,0.0,COUGH,7,Trial_1_No_Talking
10,608.7760000000001,0.9855841886013902,,1,10.0,10,40.88522062446418,1.088429972558806,1.1934739338358955,ay,{'ay': 10},2,4,4,0.0,COUGH,7,Trial_2_Talking
10,624.35,0.9609994394169936,,1,10.0,10,38.079726674585146,1.363853275971414,0.7401857519620255,ay,{'ay': 10},3,4,3,0.0,COUGH,7,Trial_3_Nonverbal
3,605.5980000000001,0.2972268732723688,2.3542401319084663,1,3.0,3,79.14678471254112,1.1545731730601085,6.023075435946851,ay,{'ay': 3},1,1,1,0.0,COUGH,8,Trial_1_No_Talking
2,458.48,0.2617344268016053,,1,2.0,2,93.48729464745463,0.45257186876641314,0.517289054732443,ay,{'ay': 2},1,0,1,0.0,COUGH,8,Trial_2_Talking
5,520.964,0.5758555293647929,4.2384813351481405,2,2.5,4,60.96964184165757,1.0778924731692625,1.369382086140595,ay,"{'ay': 4, 'az': 1}",2,1,2,0.0,COUGH,8,Trial_3_Nonverbal
16,618.053,1.5532648494546584,,4,4.0,9,37.82785944638995,1.0171575690371981,1.9952302002550284,ax,{'ax': 16},4,2,10,0.0,COUGH,9,Trial_1_No_Talking
28,1141.666,1.4715337060050837,2.4282991864093355,5,5.6,20,26.412809633073188,1.1110570858891897,2.5023928180071313,az,"{'az': 17, 'ax': 11}",23,2,3,0.0,COUGH,9,Trial_2_Talking
12,599.981,1.2000380012033713,,2,6.0,7,41.70704625765147,1.1513989003717666,1.8458901751914139,ax,"{'ax': 11, 'az': 1}",2,3,7,0.0,COUGH,9,Trial_3_Nonverbal
3,548.5980000000001,0.3281091072151192,1.715643206022193,2,1.5,2,81.70904236578308,1.010842491457602,2.3095628592084196,ax,"{'ax': 2, 'az': 1}",1,1,1,0.0,COUGH,10,Trial_1_No_Talking
6,620.648,0.5800389270568824,,1,6.0,6,59.96797813305587,0.8574005401251518,1.6172815302637416,ax,"{'ax': 5, 'az': 1}",1,2,3,0.0,COUGH,10,Trial_2_Talking
5,562.182,0.5336350149951439,,1,5.0,5,61.5890632068714,1.0105762014199327,2.4411160087896495,ax,"{'ax': 4, 'az': 1}",2,1,2,0.0,COUGH,10,Trial_3_Nonverbal
8,612.738,0.7833690745473595,4.707399832902839,2,4.0,4,48.2802494473302,1.7568857969997396,1.972081627191105,ax,{'ax': 8},3,1,4,0.0,COUGH,11,Trial_1_No_Talking
7,594.0899999999999,0.7069635913750443,,1,7.0,7,49.83494168227941,1.6235481969642331,1.377782279710872,ax,{'ax': 7},3,3,1,0.0,COUGH,11,Trial_2_Talking
41,1173.9209999999998,2.095541352441945,3.0326594804569726,8,5.125,12,20.87803423112667,1.1379885320630576,4.126720193676434,ax,"{'ax': 25, 'az': 15, 'ay': 1}",34,2,5,0.0,COUGH,11,Trial_3_Nonverbal
2,439.58799999999997,0.2729828839731749,1.4425357136436276,2,1.0,1,98.39178728176448,0.07124896216762162,0.37868433062299584,ay,{'ay': 2},1,0,1,0.0,COUGH,12,Trial_1_No_Talking
7,564.255,0.7443443124119414,1.0943476434691344,2,3.5,6,50.74380651112107,0.9371444004740997,2.6152245702044135,ay,{'ay': 7},1,2,4,0.0,COUGH,12,Trial_2_Talking
9,450.363,1.1990327802239527,2.0501414349331997,5,1.8,4,45.2774833554163,1.1698359698715863,1.6710164169762565,ay,{'ay': 9},1,5,3,0.0,COUGH,12,Trial_3_Nonverbal
2,449.852,0.2667543992246339,,1,2.0,2,100.75352393092761,0.36284931604693815,1.2250116228327357,ay,{'ay': 2},1,0,1,0.0,COUGH,13,Trial_1_No_Talking
2,434.28900000000004,0.27631369894240926,,1,2.0,2,97.33466264389067,0.5415990741920849,1.3892965636898837,ay,{'ay': 2},1,0,1,0.0,COUGH,13,Trial_2_Talking
3,445.471,0.404066706923683,,1,3.0,3,75.58350785940894,1.8964842830572928,2.902108018746532,ay,{'ay': 3},2,0,1,0.0,COUGH,13,Trial_3_Nonverbal
38,2082.962,1.0945951006307364,15.419825535606673,4,9.5,25,18.942442021904167,0.5418307677261185,1.6085262249121235,ax,"{'ax': 29, 'az': 7, 'ay': 2}",33,0,5,0.0,COUGH,14,Trial_1_No_Talking
3,620.685,0.29000217501631265,,1,3.0,3,77.21470270831414,0.810688075962588,2.941207052385642,ax,{'ax': 3},1,1,1,0.0,COUGH,14,Trial_2_Talking
4,442.27299999999997,0.5426512583856578,,1,4.0,4,38.46058497886721,0.6424486646331544,1.746199492277525,ax,{'ax': 4},1,0,3,0.0,COUGH,14,Trial_3_Nonverbal
8,586.952,0.8177840777440063,,3,2.6666666666666665,4,48.777887524544795,1.3088538564690944,2.363382236719887,ax,"{'ax': 7, 'ay': 1}",3,3,2,0.0,COUGH,15,Trial_1_No_Talking
7,573.4390000000001,0.7324231522446153,2.5788618008414828,2,3.5,5,53.431774278713846,1.6600252283835837,2.001301916566024,ax,"{'ax': 6, 'az': 1}",2,1,4,0.0,COUGH,15,Trial_2_Talking
18,586.771,1.8405817601756054,,3,6.0,12,32.489923188140075,1.1624869966877087,3.0142886454392404,ax,"{'ax': 14, 'ay': 3, 'az': 1}",4,1,13,0.0,COUGH,15,Trial_3_Nonverbal
7,452.87699999999995,0.9274041295981029,,1,7.0,7,42.47473790384115,0.9035872878045643,2.186335813907929,ay,{'ay': 7},1,0,6,0.0,COUGH,16,Trial_1_No_Talking
11,562.7230000000001,1.172868356189457,,4,2.75,8,37.99627844671107,0.9409590772004479,1.4316228333739733,ay,{'ay': 11},2,5,4,0.0,COUGH,16,Trial_2_Talking
6,448.29200000000003,0.8030480133484426,,1,6.0,6,55.92390080010515,1.0197459493592962,0.975046871325419,ay,{'ay': 6},1,1,4,0.0,COUGH,16,Trial_3_Nonverbal
5,606.26,0.4948371985616732,,2,2.5,4,65.4513156475865,0.9227352032186135,1.6551768466470282,ax,{'ax': 5},3,1,1,0.0,COUGH,17,Trial_1_No_Talking
21,684.66,1.840329506616423,,2,10.5,15,28.95268155193261,1.0890071059812283,1.253643307981292,ax,{'ax': 21},4,2,15,0.0,COUGH,17,Trial_2_Talking
22,719.2800000000001,1.8351685018351682,1.2948294459392329,6,3.6666666666666665,9,29.749018900480152,0.8440355863367093,2.5369368820524567,ax,"{'ax': 19, 'az': 3}",2,2,18,0.0,COUGH,17,Trial_3_Nonverbal
1477,3262.240430831909,27.165379707283215,1.368721095659593,391,3.7774936061381075,43,1.052247390133016,466.88387678721386,3.1972807976193267,az,"{'az': 714, 'ay': 441, 'ax': 322}",604,595,278,0.0,FOUR_IMU,record_1,record_1
1647,4618.546352863312,21.39634258271233,1.4283622767347663,544,3.0275735294117645,55,1.2080769356490688,783.0088422685101,3.231387507600668,az,"{'az': 725, 'ay': 539, 'ax': 383}",842,478,327,0.0,FOUR_IMU,record_10,record_10
1083,3223.147434949875,20.16041813520409,1.34023743195546,375,2.888,34,1.2674887648136557,1266.0160744326054,3.040603022953239,az,"{'az': 454, 'ay': 385, 'ax': 244}",528,268,287,0.0,FOUR_IMU,record_11,record_11
1071,2203.811279773712,29.158576593998664,1.3541257662670905,261,4.103448275862069,47,1.1989779454363385,895.6050831988299,3.260016951951221,az,"{'az': 529, 'ay': 273, 'ax': 269}",402,414,255,0.0,FOUR_IMU,record_12,record_12
1405,3914.998892068863,21.53257314345038,1.3504861355049034,472,2.9766949152542375,39,1.0367085392867914,1118.1987686737536,3.352034037922532,az,"{'az': 715, 'ay': 358, 'ax': 332}",711,437,257,0.0,FOUR_IMU,record_13,record_13
1492,4329.259381771089,20.677901716153954,1.2761115677942736,512,2.9140625,27,1.0161063393676775,555.1787275729496,3.1390071167268982,az,"{'az': 741, 'ay': 399, 'ax': 352}",696,443,353,0.0,FOUR_IMU,record_14,record_14
1020,2571.1794431209564,23.802306044308615,1.3465716830576668,317,3.217665615141956,34,1.0421893692101905,358.50489855303425,3.4671960355167926,az,"{'az': 532, 'ay': 260, 'ax': 228}",415,414,191,0.0,FOUR_IMU,record_15,record_15
1255,3626.9330079555516,20.761342940394012,1.3592445109880664,448,2.8013392857142856,30,1.2530337700295602,493.9621841224527,3.128413188367443,az,"{'az': 586, 'ay': 365, 'ax': 304}",611,409,235,0.0,FOUR_IMU,record_16,record_16
1499,4657.843701839447,19.309364108649987,1.2109077619625017,588,2.5493197278911564,26,1.2429655505800161,803.5566902212271,2.8092574559983445,ay,"{'ay': 587, 'az': 547, 'ax': 365}",684,504,311,0.0,FOUR_IMU,record_17,record_17
1220,2927.0232589244843,25.00834244374842,1.2756350446828677,371,3.288409703504043,24,0.9771755743933888,638.3361382266377,3.1178440530031155,az,"{'az': 576, 'ay': 384, 'ax': 260}",530,445,245,0.0,FOUR_IMU,record_18,record_18
1600,3351.8782238960266,28.64065863598566,1.2035340112358073,430,3.7209302325581395,32,1.0776817410469322,513.0155967323963,3.224612605021371,az,"{'az': 741, 'ay': 581, 'ax': 278}",582,640,378,0.0,FOUR_IMU,record_19,record_19
1299,2958.4834949970245,26.344578271875193,1.365997216949398,362,3.588397790055249,37,0.9354136987741878,737.2293464955228,3.498702017863456,az,"{'az': 627, 'ay': 360, 'ax': 312}",567,522,210,0.0,FOUR_IMU,record_2,record_2
1834,4207.960119009018,26.15043795279947,1.3308223449786312,520,3.526923076923077,42,1.0361495979991024,522.2542702502951,3.265217111095227,az,"{'az': 860, 'ay': 548, 'ax': 426}",712,721,401,0.0,FOUR_IMU,record_20,record_20
1540,3705.6517920494084,24.93488465328747,1.3944173284508565,458,3.3624454148471616,51,1.3117256624049394,578.3902431797882,3.02163102318603,ay,"{'ay': 588, 'az': 566, 'ax': 386}",764,521,255,0.0,FOUR_IMU,record_21,record_21
1493,3800.5660860538483,23.570172961526232,1.4035749016251644,453,3.295805739514349,36,1.100595536207963,583.7334983715737,3.0345716240622895,az,"{'az': 647, 'ay': 460, 'ax': 386}",661,536,296,0.0,FOUR_IMU,record_22,record_22
