movement_count,span_seconds,movements_per_minute,interval_cv,burst_count,mean_burst_size,max_burst_size,duration_std_seconds,peak_amplitude_std,dominant_frequency_std_hz,dominant_direction,direction_counts,movements_early_third,movements_mid_third,movements_late_third,artifact_filtered_fraction,dataset,subject_id,record_id
41,306.934,8.01475235718428,1.2688399986357781,9,4.555555555555555,12,1.2322266124338666,0.33411500363628427,2.8128282329513876,bcg_y,"{'bcg_y': 30, 'bcg_z': 7, 'bcg_x': 4}",11,13,17,0.0,OXFORD,154100,154100
77,897.952,5.145041160329283,1.6816068885770465,20,3.85,19,0.9027013299235764,0.058966092073933586,2.72407900492655,bcg_x,"{'bcg_x': 58, 'bcg_y': 11, 'bcg_z': 8}",27,22,28,0.0,OXFORD,450569,450569
64,890.0980000000001,4.314131702351876,1.1854731967689052,24,2.6666666666666665,9,1.124568491759712,0.21031502581042455,4.109258358343174,bcg_y,"{'bcg_y': 31, 'bcg_z': 23, 'bcg_x': 10}",21,16,27,0.0,OXFORD,450663,450663
79,889.8860000000001,5.326524970614213,1.4714421385731267,25,3.16,13,1.1491833539714622,1.8652881473568348,2.188610802990788,bcg_x,"{'bcg_x': 46, 'bcg_y': 30, 'bcg_z': 3}",22,30,27,0.0,OXFORD,451043,451043
51,851.272,3.59462075576314,1.2079879811003824,24,2.125,7,0.7970873999363197,0.23338295371646453,3.351189416739029,bcg_y,"{'bcg_y': 42, 'bcg_z': 8, 'bcg_x': 1}",21,17,13,0.0,OXFORD,451049,451049
106,895.052,7.105732404374272,1.4333230221599595,21,5.0476190476190474,15,1.3336429877175646,0.06459201301920901,6.352286080226748,bcg_z,"{'bcg_z': 85, 'bcg_y': 14, 'bcg_x': 7}",48,25,33,0.0,OXFORD,451280,451280
52,850.076,3.670260070864252,1.4319106379208064,18,2.888888888888889,8,0.7871301942402974,0.1541096089491855,4.038645571521983,bcg_y,"{'bcg_y': 24, 'bcg_z': 22, 'bcg_x': 6}",26,15,11,0.0,OXFORD,451377,451377
57,892.664,3.8312287714078312,1.2687190624188258,26,2.1923076923076925,7,0.9066524826584692,0.22006914612820386,3.8925941864828753,bcg_z,"{'bcg_z': 41, 'bcg_x': 9, 'bcg_y': 7}",13,23,21,0.0,OXFORD,451421,451421
41,872.738,2.818715353290449,1.2441732154553764,19,2.1578947368421053,6,0.9499995994864449,0.3849604915976099,2.400038688129789,bcg_y,"{'bcg_y': 18, 'bcg_x': 18, 'bcg_z': 5}",10,12,19,0.0,OXFORD,451609,451609
65,902.456,4.321540329944064,1.0932252270130087,27,2.4074074074074074,6,0.75997154298951,0.19270492765526148,3.557135358753391,bcg_y,"{'bcg_y': 45, 'bcg_z': 16, 'bcg_x': 4}",18,27,20,0.0,OXFORD,451625,451625
89,894.482,5.969935672266183,1.6962879584284163,26,3.423076923076923,22,0.7964958232954337,0.07072773140700907,3.8908029312608354,bcg_z,"{'bcg_z': 66, 'bcg_x': 14, 'bcg_y': 9}",36,29,24,0.0,OXFORD,451743,451743
165,901.9939999999999,10.975682765073827,1.7431404928162821,15,11.0,60,2.743831329674956,0.16148376307987444,3.619250193884061,bcg_z,"{'bcg_z': 145, 'bcg_x': 20}",37,72,56,0.0,OXFORD,451875,451875
33,892.63,2.2181643009981737,1.0399475938658787,19,1.736842105263158,3,2.234077611169154,0.4357306555252865,2.8798111929018573,bcg_x,"{'bcg_x': 20, 'bcg_y': 12, 'bcg_z': 1}",10,11,12,0.0,OXFORD,451898,451898
69,770.946,5.370025916212031,1.0015352808952505,25,2.76,10,0.8323903151939288,2.980535827403376,4.2167300087841735,bcg_y,"{'bcg_y': 36, 'bcg_x': 31, 'bcg_z': 2}",22,26,21,0.0,OXFORD,451905,451905
74,898.866,4.939557175374305,1.0892806115426872,29,2.5517241379310347,7,1.0406541146324084,0.19487689191394167,3.9116496419380646,bcg_x,"{'bcg_x': 65, 'bcg_y': 6, 'bcg_z': 3}",23,24,27,0.0,OXFORD,451927,451927
72,898.966,4.805521009693359,1.4740291225341327,23,3.130434782608696,14,1.0941857377954598,0.21759630976342606,2.887640824210463,bcg_x,"{'bcg_x': 50, 'bcg_y': 19, 'bcg_z': 3}",28,28,16,0.0,OXFORD,451993,451993
