movement_id,subject_id,record_id,start_time,end_time,duration,dataset,candidate_id,sensor_id,artifact_filtered,filter_method,artifact_probability
COUGH_mv000001,5,005_Trial_1_No_Talking,9.825,16.263,6.438000000000002,COUGH,COUGH_005_Trial_1_No_Talking_IMU_seg0001_c0001,IMU,False,unfiltered,
COUGH_mv000002,5,005_Trial_1_No_Talking,24.404,25.651,1.247,COUGH,COUGH_005_Trial_1_No_Talking_IMU_seg0001_c0002,IMU,False,unfiltered,
COUGH_mv000003,5,005_Trial_1_No_Talking,38.355,40.273,1.9180000000000064,COUGH,COUGH_005_Trial_1_No_Talking_IMU_seg0001_c0003,IMU,False,unfiltered,
COUGH_mv000004,5,005_Trial_1_No_Talking,42.117,42.908,0.7910000000000039,COUGH,COUGH_005_Trial_1_No_Talking_IMU_seg0001_c0004,IMU,False,unfiltered,
COUGH_mv000005,5,005_Trial_1_No_Talking,43.446,48.901,5.455000000000005,COUGH,COUGH_005_Trial_1_No_Talking_IMU_seg0001_c0005,IMU,False,unfiltered,
COUGH_mv000006,5,005_Trial_1_No_Talking,50.036,50.726,0.6899999999999977,COUGH,COUGH_005_Trial_1_No_Talking_IMU_seg0001_c0006,IMU,False,unfiltered,
COUGH_mv000007,5,005_Trial_1_No_Talking,52.257,53.128,0.8710000000000022,COUGH,COUGH_005_Trial_1_No_Talking_IMU_seg0001_c0007,IMU,False,unfiltered,
COUGH_mv000008,5,005_Trial_1_No_Talking,53.94,55.856,1.916000000000004,COUGH,COUGH_005_Trial_1_No_Talking_IMU_seg0001_c0008,IMU,False,unfiltered,
COUGH_mv000009,5,005_Trial_1_No_Talking,57.123,57.469,0.3460000000000036,COUGH,COUGH_005_Trial_1_No_Talking_IMU_seg0001_c0009,IMU,False,unfiltered,
COUGH_mv000010,5,005_Trial_1_No_Talking,82.462,82.958,0.4959999999999951,COUGH,COUGH_005_Trial_1_No_Talking_IMU_seg0001_c0010,IMU,False,unfiltered,
COUGH_mv000011,5,005_Trial_1_No_Talking,107.272,112.352,5.079999999999998,COUGH,COUGH_005_Trial_1_No_Talking_IMU_seg0001_c0011,IMU,False,unfiltered,
COUGH_mv000012,5,005_Trial_1_No_Talking,126.171,126.74,0.5689999999999884,COUGH,COUGH_005_Trial_1_No_Talking_IMU_seg0001_c0012,IMU,False,unfiltered,
COUGH_mv000013,5,005_Trial_1_No_Talking,127.914,138.825,10.910999999999987,COUGH,COUGH_005_Trial_1_No_Talking_IMU_seg0001_c0013,IMU,False,unfiltered,
COUGH_mv000014,5,005_Trial_1_No_Talking,259.529,260.431,0.9019999999999868,COUGH,COUGH_005_Trial_1_No_Talking_IMU_seg0002_c0001,IMU,False,unfiltered,
COUGH_mv000015,5,005_Trial_1_No_Talking,262.46,262.774,0.3140000000000214,COUGH,COUGH_005_Trial_1_No_Talking_IMU_seg0002_c0002,IMU,False,unfiltered,
COUGH_mv000016,5,005_Trial_1_No_Talking,269.496,270.429,0.9329999999999928,COUGH,COUGH_005_Trial_1_No_Talking_IMU_seg0002_c0003,IMU,False,unfiltered,
COUGH_mv000017,5,005_Trial_1_No_Talking,278.661,279.574,0.9130000000000108,COUGH,COUGH_005_Trial_1_No_Talking_IMU_seg0002_c0004,IMU,False,unfiltered,
COUGH_mv000018,5,005_Trial_1_No_Talking,280.132,281.531,1.399000000000001,COUGH,COUGH_005_Trial_1_No_Talking_IMU_seg0002_c0005,IMU,False,unfiltered,
COUGH_mv000019,5,005_Trial_1_No_Talking,282.656,283.204,0.5480000000000018,COUGH,COUGH_005_Trial_1_No_Talking_IMU_seg0002_c0006,IMU,False,unfiltered,
COUGH_mv000020,5,005_Trial_1_No_Talking,285.657,286.823,1.1659999999999968,COUGH,COUGH_005_Trial_1_No_Talking_IMU_seg0002_c0007,IMU,False,unfiltered,
COUGH_mv000021,5,005_Trial_1_No_Talking,305.174,306.43,1.2560000000000286,COUGH,COUGH_005_Trial_1_No_Talking_IMU_seg0002_c0008,IMU,False,unfiltered,
COUGH_mv000022,5,005_Trial_1_No_Talking,14762.624,14766.202,3.57799999999952,COUGH,COUGH_005_Trial_1_No_Talking_IMU_seg0003_c0001,IMU,False,unfiltered,
COUGH_mv000023,5,005_Trial_1_No_Talking,15086.256,15086.722,0.4660000000003492,COUGH,COUGH_005_Trial_1_No_Talking_IMU_seg0003_c0002,IMU,False,unfiltered,
COUGH_mv000024,5,005_Trial_1_No_Talking,15089.55,15090.047,0.4970000000012078,COUGH,COUGH_005_Trial_1_No_Talking_IMU_seg0003_c0003,IMU,False,unfiltered,
COUGH_mv000025,5,005_Trial_1_No_Talking,15090.899,15235.135,144.2360000000008,COUGH,COUGH_005_Trial_1_No_Talking_IMU_seg0003_c0004,IMU,False,unfiltered,
