feature_group,feature,exists,finite_count,nan_count,inf_count,availability_percent
accelerometer,acc_mean,True,0,16,0,0.0
accelerometer,acc_std,True,0,16,0,0.0
accelerometer,acc_rms,True,0,16,0,0.0
accelerometer,acc_peak_to_peak,True,0,16,0,0.0
jerk,jerk_rms,True,0,16,0,0.0
jerk,jerk_peak_to_peak,True,0,16,0,0.0
gyroscope,gyro_mean,True,0,16,0,0.0
gyroscope,gyro_std,True,0,16,0,0.0
gyroscope,gyro_rms,True,0,16,0,0.0
gyroscope,gyro_peak_to_peak,True,0,16,0,0.0
accelerometer_frequency,acc_dominant_frequency_hz,True,0,16,0,0.0
accelerometer_frequency,acc_spectral_centroid_hz,True,0,16,0,0.0
accelerometer_frequency,acc_spectral_bandwidth_hz,True,0,16,0,0.0
accelerometer_frequency,acc_spectral_energy,True,0,16,0,0.0
gyroscope_frequency,gyro_dominant_frequency_hz,True,0,16,0,0.0
gyroscope_frequency,gyro_spectral_centroid_hz,True,0,16,0,0.0
gyroscope_frequency,gyro_spectral_bandwidth_hz,True,0,16,0,0.0
gyroscope_frequency,gyro_spectral_energy,True,0,16,0,0.0
bcg,bcg_mean,True,16,0,0,100.0
bcg,bcg_std,True,16,0,0,100.0
bcg,bcg_rms,True,16,0,0,100.0
bcg,bcg_peak_to_peak,True,16,0,0,100.0
bcg,bcg_dominant_frequency_hz,True,16,0,0,100.0
bcg,bcg_spectral_centroid_hz,True,16,0,0,100.0
bcg,bcg_spectral_bandwidth_hz,True,16,0,0,100.0
bcg,bcg_spectral_energy,True,16,0,0,100.0
