feature,n,mean,std,min,median,max,zscore_max
acc_mean,0,,,,,,
acc_std,0,,,,,,
acc_rms,0,,,,,,
acc_peak_to_peak,0,,,,,,
jerk_rms,0,,,,,,
jerk_peak_to_peak,0,,,,,,
gyro_mean,0,,,,,,
gyro_std,0,,,,,,
gyro_rms,0,,,,,,
gyro_peak_to_peak,0,,,,,,
acc_dominant_frequency_hz,0,,,,,,
acc_spectral_centroid_hz,0,,,,,,
acc_spectral_bandwidth_hz,0,,,,,,
acc_spectral_energy,0,,,,,,
gyro_dominant_frequency_hz,0,,,,,,
gyro_spectral_centroid_hz,0,,,,,,
gyro_spectral_bandwidth_hz,0,,,,,,
gyro_spectral_energy,0,,,,,,
bcg_mean,16,22.1668998674102,0.8971972168154909,19.87087717022604,22.157163926668645,23.826680893247616,1.849962298956562
bcg_std,16,0.09749496453954878,0.0720096717041447,0.036702350480355,0.06617281629302216,0.321122471554226,3.105520435275166
bcg_rms,16,22.167234775766417,0.8971096001232385,19.870942150537587,22.157293977021684,23.82672822151576,1.849822413583998
bcg_peak_to_peak,16,15.330548002268582,8.49929349108519,0.7062443868629025,19.060956992206258,27.667922848560668,1.4515765174167259
bcg_dominant_frequency_hz,16,0.2593994140625,0.059097035922354386,0.244140625,0.244140625,0.48828125,3.8729833462074166
bcg_spectral_centroid_hz,16,42.88413467053765,33.68084748835104,1.9771572231894483,33.1141322445377,100.9401495908423,1.7237100384835646
bcg_spectral_bandwidth_hz,16,52.532284659695854,29.411381153074537,6.565660838171005,59.410632722325175,82.77467960456,1.0282548373864022
bcg_spectral_energy,16,0.005103036308256368,0.003968667942077533,0.0012690227001554,0.0047029850843852,0.0183821296189262,3.3459824567027
